date,region,deaths,cases
2020-02-29T17:00:00,Piemonte,0,11
2020-02-29T17:00:00,Puglia,0,3
2020-02-29T17:00:00,Sardegna,0,0
2020-02-29T17:00:00,Sicilia,0,4
2020-02-29T17:00:00,Toscana,0,11
2020-02-29T17:00:00,Umbria,0,0
2020-02-29T17:00:00,Valle d'Aosta,0,0
2020-02-29T17:00:00,Veneto,2,191
2020-03-01T17:00:00,Abruzzo,0,5
2020-03-01T17:00:00,Basilicata,0,0
2020-03-01T17:00:00,Calabria,0,1
2020-03-01T17:00:00,Campania,0,17
2020-03-01T17:00:00,Emilia-Romagna,8,285
2020-03-01T17:00:00,Friuli Venezia Giulia,0,6
2020-03-01T17:00:00,Lazio,0,6
2020-03-01T17:00:00,Liguria,0,25
2020-03-01T17:00:00,Lombardia,24,984
2020-03-01T17:00:00,Marche,0,25
2020-03-01T17:00:00,Molise,0,0
2020-03-01T17:00:00,P.A. Bolzano,0,1
2020-03-01T17:00:00,P.A. Trento,0,0
2020-03-01T17:00:00,Piemonte,0,49
2020-03-01T17:00:00,Puglia,0,3
2020-03-01T17:00:00,Sardegna,0,0
2020-03-01T17:00:00,Sicilia,0,9
2020-03-01T17:00:00,Toscana,0,13
2020-03-01T17:00:00,Umbria,0,2
2020-03-01T17:00:00,Valle d'Aosta,0,0
2020-03-01T17:00:00,Veneto,2,263
2020-03-02T18:00:00,Abruzzo,0,5
2020-03-02T18:00:00,Basilicata,0,0
2020-03-02T18:00:00,Calabria,0,1
2020-03-02T18:00:00,Campania,0,17
2020-03-02T18:00:00,Emilia-Romagna,11,335
2020-03-02T18:00:00,Friuli Venezia Giulia,0,9
2020-03-02T18:00:00,Lazio,0,7
2020-03-02T18:00:00,Liguria,0,22
2020-03-02T18:00:00,Lombardia,38,1254
2020-03-02T18:00:00,Marche,1,35
2020-03-02T18:00:00,Molise,0,0
2020-03-02T18:00:00,P.A. Bolzano,0,1
2020-03-02T18:00:00,P.A. Trento,0,0
2020-03-02T18:00:00,Piemonte,0,51
2020-03-02T18:00:00,Puglia,0,4
2020-03-02T18:00:00,Sardegna,0,0
2020-03-02T18:00:00,Sicilia,0,7
2020-03-02T18:00:00,Toscana,0,13
2020-03-02T18:00:00,Umbria,0,2
2020-03-02T18:00:00,Valle d'Aosta,0,0
2020-03-02T18:00:00,Veneto,2,273
2020-03-03T18:00:00,Abruzzo,0,6
2020-03-03T18:00:00,Basilicata,0,1
2020-03-03T18:00:00,Calabria,0,1
2020-03-03T18:00:00,Campania,0,30
2020-03-03T18:00:00,Emilia-Romagna,18,420
2020-03-03T18:00:00,Friuli Venezia Giulia,0,13
2020-03-03T18:00:00,Lazio,0,14
2020-03-03T18:00:00,Liguria,1,24
2020-03-03T18:00:00,Lombardia,55,1520
2020-03-03T18:00:00,Marche,2,61
2020-03-03T18:00:00,Molise,0,3
2020-03-03T18:00:00,P.A. Bolzano,0,1
2020-03-03T18:00:00,P.A. Trento,0,4
2020-03-03T18:00:00,Piemonte,0,56
2020-03-03T18:00:00,Puglia,0,6
2020-03-03T18:00:00,Sardegna,0,1
2020-03-03T18:00:00,Sicilia,0,7
2020-03-03T18:00:00,Toscana,0,19
2020-03-03T18:00:00,Umbria,0,8
2020-03-03T18:00:00,Valle d'Aosta,0,0
2020-03-03T18:00:00,Veneto,3,307
2020-03-04T17:00:00,Abruzzo,0,7
2020-03-04T17:00:00,Basilicata,0,1
2020-03-04T17:00:00,Calabria,0,1
2020-03-04T17:00:00,Campania,0,31
2020-03-04T17:00:00,Emilia-Romagna,22,544
2020-03-04T17:00:00,Friuli Venezia Giulia,0,18
2020-03-04T17:00:00,Lazio,0,30
2020-03-04T17:00:00,Liguria,1,26
2020-03-04T17:00:00,Lombardia,73,1820
2020-03-04T17:00:00,Marche,4,84
2020-03-04T17:00:00,Molise,0,3
2020-03-04T17:00:00,P.A. Bolzano,0,1
2020-03-04T17:00:00,P.A. Trento,0,5
2020-03-04T17:00:00,Piemonte,0,82
2020-03-04T17:00:00,Puglia,1,9
2020-03-04T17:00:00,Sardegna,0,2
2020-03-04T17:00:00,Sicilia,0,18
2020-03-04T17:00:00,Toscana,0,38
2020-03-04T17:00:00,Umbria,0,9
2020-03-04T17:00:00,Valle d'Aosta,0,0
2020-03-04T17:00:00,Veneto,6,360
2020-03-05T17:00:00,Abruzzo,0,8
2020-03-05T17:00:00,Basilicata,0,1
2020-03-05T17:00:00,Calabria,0,2
2020-03-05T17:00:00,Campania,0,45
2020-03-05T17:00:00,Emilia-Romagna,30,698
2020-03-05T17:00:00,Friuli Venezia Giulia,0,21
2020-03-05T17:00:00,Lazio,0,44
2020-03-05T17:00:00,Liguria,3,28
2020-03-05T17:00:00,Lombardia,98,2251
2020-03-05T17:00:00,Marche,4,124
2020-03-05T17:00:00,Molise,0,7
2020-03-05T17:00:00,P.A. Bolzano,0,1
2020-03-05T17:00:00,P.A. Trento,0,7
2020-03-05T17:00:00,Piemonte,2,108
2020-03-05T17:00:00,Puglia,1,14
2020-03-05T17:00:00,Sardegna,0,2
2020-03-05T17:00:00,Sicilia,0,18
2020-03-05T17:00:00,Toscana,0,61
2020-03-05T17:00:00,Umbria,0,9
2020-03-05T17:00:00,Valle d'Aosta,0,2
2020-03-05T17:00:00,Veneto,10,407
2020-03-06T17:00:00,Abruzzo,0,9
2020-03-06T17:00:00,Basilicata,0,3
2020-03-06T17:00:00,Calabria,0,4
2020-03-06T17:00:00,Campania,0,57
2020-03-06T17:00:00,Emilia-Romagna,37,870
2020-03-06T17:00:00,Friuli Venezia Giulia,0,31
2020-03-06T17:00:00,Lazio,1,54
2020-03-06T17:00:00,Liguria,3,32
2020-03-06T17:00:00,Lombardia,135,2612
2020-03-06T17:00:00,Marche,4,159
2020-03-06T17:00:00,Molise,0,12
2020-03-06T17:00:00,P.A. Bolzano,0,4
2020-03-06T17:00:00,P.A. Trento,0,10
2020-03-06T17:00:00,Piemonte,4,143
2020-03-06T17:00:00,Puglia,1,17
2020-03-06T17:00:00,Sardegna,0,5
2020-03-06T17:00:00,Sicilia,0,24
2020-03-06T17:00:00,Toscana,0,79
2020-03-06T17:00:00,Umbria,0,16
2020-03-06T17:00:00,Valle d'Aosta,0,7
2020-03-06T17:00:00,Veneto,12,488
2020-03-07T18:00:00,Abruzzo,0,11
2020-03-07T18:00:00,Basilicata,0,3
2020-03-07T18:00:00,Calabria,0,4
2020-03-07T18:00:00,Campania,0,61
2020-03-07T18:00:00,Emilia-Romagna,48,1010
2020-03-07T18:00:00,Friuli Venezia Giulia,0,42
2020-03-07T18:00:00,Lazio,1,76
2020-03-07T18:00:00,Liguria,4,51
2020-03-07T18:00:00,Lombardia,154,3420
2020-03-07T18:00:00,Marche,6,207
2020-03-07T18:00:00,Molise,0,14
2020-03-07T18:00:00,P.A. Bolzano,0,9
2020-03-07T18:00:00,P.A. Trento,0,14
2020-03-07T18:00:00,Piemonte,5,207
2020-03-07T18:00:00,Puglia,2,26
2020-03-07T18:00:00,Sardegna,0,5
2020-03-07T18:00:00,Sicilia,0,35
2020-03-07T18:00:00,Toscana,0,113
2020-03-07T18:00:00,Umbria,0,24
2020-03-07T18:00:00,Valle d'Aosta,0,8
2020-03-07T18:00:00,Veneto,13,543
2020-03-08T18:00:00,Abruzzo,0,17
2020-03-08T18:00:00,Basilicata,0,4
2020-03-08T18:00:00,Calabria,0,9
2020-03-08T18:00:00,Campania,0,101
2020-03-08T18:00:00,Emilia-Romagna,56,1180
2020-03-08T18:00:00,Friuli Venezia Giulia,1,57
2020-03-08T18:00:00,Lazio,3,87
2020-03-08T18:00:00,Liguria,6,78
2020-03-08T18:00:00,Lombardia,267,4189
2020-03-08T18:00:00,Marche,7,272
2020-03-08T18:00:00,Molise,0,14
2020-03-08T18:00:00,P.A. Bolzano,0,9
2020-03-08T18:00:00,P.A. Trento,0,23
2020-03-08T18:00:00,Piemonte,5,360
2020-03-08T18:00:00,Puglia,3,40
2020-03-08T18:00:00,Sardegna,0,11
2020-03-08T18:00:00,Sicilia,0,53
2020-03-08T18:00:00,Toscana,0,166
2020-03-08T18:00:00,Umbria,0,26
2020-03-08T18:00:00,Valle d'Aosta,0,9
2020-03-08T18:00:00,Veneto,18,670
2020-03-09T18:00:00,Abruzzo,0,30
2020-03-09T18:00:00,Basilicata,0,5
2020-03-09T18:00:00,Calabria,0,11
2020-03-09T18:00:00,Campania,0,120
2020-03-09T18:00:00,Emilia-Romagna,70,1386
2020-03-09T18:00:00,Friuli Venezia Giulia,1,93
2020-03-09T18:00:00,Lazio,5,102
2020-03-09T18:00:00,Liguria,7,109
2020-03-09T18:00:00,Lombardia,333,5469
2020-03-09T18:00:00,Marche,10,323
2020-03-09T18:00:00,Molise,0,14
2020-03-09T18:00:00,P.A. Bolzano,0,9
2020-03-09T18:00:00,P.A. Trento,0,33
2020-03-09T18:00:00,Piemonte,13,350
2020-03-09T18:00:00,Puglia,3,50
2020-03-09T18:00:00,Sardegna,0,19
2020-03-09T18:00:00,Sicilia,0,54
2020-03-09T18:00:00,Toscana,1,208
2020-03-09T18:00:00,Umbria,0,28
2020-03-09T18:00:00,Valle d'Aosta,0,15
2020-03-09T18:00:00,Veneto,20,744
2020-03-10T18:00:00,Abruzzo,1,38
2020-03-10T18:00:00,Basilicata,0,7
2020-03-10T18:00:00,Calabria,0,13
2020-03-10T18:00:00,Campania,0,127
2020-03-10T18:00:00,Emilia-Romagna,85,1533
2020-03-10T18:00:00,Friuli Venezia Giulia,3,116
2020-03-10T18:00:00,Lazio,6,116
2020-03-10T18:00:00,Liguria,8,141
2020-03-10T18:00:00,Lombardia,468,5791
2020-03-10T18:00:00,Marche,13,394
2020-03-10T18:00:00,Molise,0,15
2020-03-10T18:00:00,P.A. Bolzano,0,38
2020-03-10T18:00:00,P.A. Trento,0,52
2020-03-10T18:00:00,Piemonte,17,453
2020-03-10T18:00:00,Puglia,3,59
2020-03-10T18:00:00,Sardegna,0,20
2020-03-10T18:00:00,Sicilia,0,62
2020-03-10T18:00:00,Toscana,1,264
2020-03-10T18:00:00,Umbria,0,37
2020-03-10T18:00:00,Valle d'Aosta,0,17
2020-03-10T18:00:00,Veneto,26,856
2020-03-11T17:00:00,Abruzzo,1,38
2020-03-11T17:00:00,Basilicata,0,8
2020-03-11T17:00:00,Calabria,0,19
2020-03-11T17:00:00,Campania,1,154
2020-03-11T17:00:00,Emilia-Romagna,113,1739
2020-03-11T17:00:00,Friuli Venezia Giulia,6,126
2020-03-11T17:00:00,Lazio,6,150
2020-03-11T17:00:00,Liguria,8,194
2020-03-11T17:00:00,Lombardia,617,7280
2020-03-11T17:00:00,Marche,18,479
2020-03-11T17:00:00,Molise,0,16
2020-03-11T17:00:00,P.A. Bolzano,0,75
2020-03-11T17:00:00,P.A. Trento,0,77
2020-03-11T17:00:00,Piemonte,21,501
2020-03-11T17:00:00,Puglia,5,77
2020-03-11T17:00:00,Sardegna,0,37
2020-03-11T17:00:00,Sicilia,0,83
2020-03-11T17:00:00,Toscana,1,320
2020-03-11T17:00:00,Umbria,0,46
2020-03-11T17:00:00,Valle d'Aosta,1,20
2020-03-11T17:00:00,Veneto,29,1023
2020-03-12T17:00:00,Abruzzo,2,84
2020-03-12T17:00:00,Basilicata,0,8
2020-03-12T17:00:00,Calabria,0,33
2020-03-12T17:00:00,Campania,1,179
2020-03-12T17:00:00,Emilia-Romagna,146,1947
2020-03-12T17:00:00,Friuli Venezia Giulia,8,167
2020-03-12T17:00:00,Lazio,9,200
2020-03-12T17:00:00,Liguria,11,274
2020-03-12T17:00:00,Lombardia,744,8725
2020-03-12T17:00:00,Marche,22,592
2020-03-12T17:00:00,Molise,0,16
2020-03-12T17:00:00,P.A. Bolzano,1,104
2020-03-12T17:00:00,P.A. Trento,1,107
2020-03-12T17:00:00,Piemonte,26,580
2020-03-12T17:00:00,Puglia,5,104
2020-03-12T17:00:00,Sardegna,0,39
2020-03-12T17:00:00,Sicilia,2,115
2020-03-12T17:00:00,Toscana,5,364
2020-03-12T17:00:00,Umbria,0,64
2020-03-12T17:00:00,Valle d'Aosta,1,27
2020-03-12T17:00:00,Veneto,32,1384
2020-03-13T17:00:00,Abruzzo,2,89
2020-03-13T17:00:00,Basilicata,0,10
2020-03-13T17:00:00,Calabria,0,38
2020-03-13T17:00:00,Campania,2,220
2020-03-13T17:00:00,Emilia-Romagna,201,2263
2020-03-13T17:00:00,Friuli Venezia Giulia,10,257
2020-03-13T17:00:00,Lazio,11,277
2020-03-13T17:00:00,Liguria,17,345
2020-03-13T17:00:00,Lombardia,890,9820
2020-03-13T17:00:00,Marche,27,725
2020-03-13T17:00:00,Molise,0,17
2020-03-13T17:00:00,P.A. Bolzano,2,125
2020-03-13T17:00:00,P.A. Trento,2,163
2020-03-13T17:00:00,Piemonte,46,840
2020-03-13T17:00:00,Puglia,5,129
2020-03-13T17:00:00,Sardegna,0,43
2020-03-13T17:00:00,Sicilia,2,130
2020-03-13T17:00:00,Toscana,5,470
2020-03-13T17:00:00,Umbria,1,76
2020-03-13T17:00:00,Valle d'Aosta,1,28
2020-03-13T17:00:00,Veneto,42,1595
2020-03-14T17:00:00,Abruzzo,2,112
2020-03-14T17:00:00,Basilicata,0,10
2020-03-14T17:00:00,Calabria,0,60
2020-03-14T17:00:00,Campania,6,272
2020-03-14T17:00:00,Emilia-Romagna,241,2644
